NCR ID,Entity Name,Regional Compliance Enforcement Authority,BA,DP,GO Category 1,GO Category 2,GOP Category 1,GOP Category 2,PCPA,RC,RP,RSG,TO,TOP,TP,TSP,DPUF,FRSG,RRSG
NCR13363,"Speedway Solar NC, LLC",SERC,,,,GO-2,,,,,,,,,,,,,
NCR13433,"Spring Grove Solar II, LLC",SERC,,,GO-1,,,,,,,,,,,,,,
NCR01330,"Spruance Operating Services, LLC",SERC,,,GO-1,,,,,,,,,,,,,,
NCR12536,"SR Ailey, LLC",SERC,,,GO-1,,,,,,,,,,,,,,
NCR11988,"SR Arlington II, LLC",SERC,,,GO-1,,,,,,,,,,,,,,
NCR13561,"SR Bell Buckle, LLC",SERC,,,,GO-2,,,,,,,,,,,,,
NCR12294,"SR Cedar Springs, LLC",SERC,,,GO-1,,,,,,,,,,,,,,
NCR12286,"SR Clay, LLC",SERC,,,GO-1,,,,,,,,,,,,,,
NCR12299,"SR DeSoto, LLC",SERC,,,GO-1,,,,,,,,,,,,,,
NCR13305,"SR EPC, LLC",SERC,,,,,,GOP-2,,,,,,,,,,,
NCR11987,"SR Hazlehurst III, LLC",SERC,,,GO-1,,,,,,,,,,,,,,
NCR13271,"SR Lambert I, LLC",SERC,,,GO-1,,,,,,,,,,,,,,
NCR12185,"SR Lumpkin, LLC",SERC,,,GO-1,,,,,,,,,,,,,,
NCR13541,"SR McKellar, LLC",SERC,,,,GO-2,,,,,,,,,,,,,
NCR13292,"SR Meridian III, LLC",SERC,,,,GO-2,,,,,,,,,,,,,
NCR13551,"SR Millington II, LLC",SERC,,,GO-1,,,,,,,,,,,,,,
NCR13293,"SR Millington, LLC",SERC,,,,GO-2,,,,,,,,,,,,,
NCR12184,"SR Perry, LLC",SERC,,,GO-1,,,,,,,,,,,,,,
NCR12071,"SR Snipesville, LLC",SERC,,,GO-1,,,,,,,,,,,,,,
NCR12039,"SR Terrell, LLC",SERC,,,GO-1,,,,,,,,,,,,,,
NCR13025,"SR Toombs, LLC",SERC,,,GO-1,,,,,,,,,,,,,,
NCR13454,"Stanly Solar, LLC",SERC,,,,GO-2,,,,,,,,,,,,,
